buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount
4493,"LOC/ANT.CNT SERV.PARTAGÉS ''DGRT SÉRAM''","11100 Boulevard  Ray-Lawson (ANJ) ,","LOCATAIRE","Installation externe","Industriel","Station télécom","ANJOU",,28.3,0,28.3,,,
4494,"STATION D'ÉCHANTILLONNAGE DU RSQA # 66","90 Rue  Hervé-Saint-Martin (SLR) , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Station de nivométrie","SAINT-LAURENT",,11.91,0,8.91,1,,
4498,"STATION DE POMPAGE DES AVENUES","2535 Chemin  Dutour (IBZ) , Montréal","PROPRIÉTAIRE","Installation externe","Industriel","Station de pompage (égouts)","L'ÎLE-BIZARD / STE-GENEVIÈVE",2013,12,12,12,,,
4503,"CHALET ÉLOI-VIAU 3E BUT PARC RIVERSIDE","Rue  Centrale (LSL) , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","LASALLE",1983,208,0,208,1,,
4504,"JEU D'EAU DU PARC WILFRID-BASTIEN","8255 Boulevard  Lacordaire , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","SAINT-LÉONARD",,25,0,25,,,
4505,"SCÈNE EXTÉRIEURE - PARC WILFRID-BASTIEN","8255 Boulevard  Lacordaire , Montréal","PROPRIÉTAIRE","Installation externe","Loisir communautaire","Abri ouvert","SAINT-LÉONARD",,350,0,350,,,
4506,"CHALET ÉLOI-VIAU 1ER BUT PARC RIVERSIDE","Rue  Centrale (LSL) , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","LASALLE",1983,246,0,246,1,,
4507,"PARC BASSIN-À-BOIS","9999 Rue  Basin , Montréal","PROPRIÉTAIRE","Installation externe","Loisir communautaire","Chalet","SUD-OUEST",,0,0,0,,,
5029,"SOUS-STATION ÉLECTR. PARC CITÉ DES ARTS","Rue  Paul-Boutet (MTL) , Montréal","PROPRIÉTAIRE","Installation externe","Industriel","Sous-station électrique","VILLERAY/ST-MICHEL/PARC-EXTENS",,3,3,3,,,
5034,"S-STATION ÉLEC. PARC LAURIER-CHARLEMAGNE","3975 Avenue  Laurier E, Montréal","PROPRIÉTAIRE","Installation externe","Industriel","Sous-station électrique","ROSEMONT / PETITE-PATRIE",,3,3,3,,,
5038,"SOUS-STATION ÉLECT. PARC PL.SIMON VALOIS","Avenue  Valois , Montréal","PROPRIÉTAIRE","Installation externe","Industriel","Sous-station électrique","MERCIER/HOCHELAGA/ MAISONNEUVE",,2,2,2,,,
5039,"S.STAT. ÉLECT. PARC HECTOR-PRUDHOMME","Rue  Saint-Hubert , Montréal","PROPRIÉTAIRE","Installation externe","Industriel","Sous-station électrique","ROSEMONT / PETITE-PATRIE",,2,2,2,,,
5278,"SALLE DE MÉCANIQUE SQUARE VICTORIA SUD","355 Rue  Saint-Antoine O, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Sous-station électrique","VILLE-MARIE",1998,68.12,,68.12,,1,
5279,"SALLE DE MÉCANIQUE SQUARE VICTORIA NORD","355 Rue  Saint-Antoine O, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Sous-station électrique","VILLE-MARIE",1998,33.64,,33.64,,1,
5284,"TUNNEL À PIÉTONS VIAU (GOLF)","Rue  Viau , Montréal","PROPRIÉTAIRE","Installation externe","Industriel","Tunnel","ROSEMONT / PETITE-PATRIE",,1,,1,,,
5287,"LOCATION / ANTENNES MICROCELL","Boulevard  De La Vérendrye , Lasalle","PROPRIÉTAIRE","Installation externe","Industriel","Station télécom","LASALLE",,20,20,20,,,
5360,"GUÉRITE CHUTES À NEIGE FULLUM","2100 Rue  Notre-Dame E, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Guérite","VILLE-MARIE",1999,19.94,19.94,17.24,1,,
5361,"PÉPINIÈRE L'ASSOMPTION","801   Rang du Bas de l'Assomption N , Assomption","PROPRIÉTAIRE","Bâtiment","Industriel","Pépinière","Hors de Montréal",1995,2976.22,,2855.9,2,0,
5362,"GRANGE, PÉPINIÈRE L'ASSOMPTION",", Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Pépinière","Hors de Montréal",,1077.35,367.71,649.91,2,0,
5841,"SALLE DE MÉCANIQUE PLACE RIOPELLE","355 Rue  Saint-Antoine O, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Sous-station électrique","VILLE-MARIE",1998,93.5,93.5,93.5,,1,
5842,"SALLE MÉC.JEU D'EAU PARC FAUBOURGS","Rue  Dorion , Montréal","PROPRIÉTAIRE","Installation externe","Industriel","Sous-station électrique","VILLE-MARIE",,2.5,2.5,2.5,,,
5843,"SOUS-STATION ÉLECT.PARC FAUBOURGS","Rue  Dorion , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Sous-station électrique","VILLE-MARIE",,2,2,2,,,
5888,"JEU D'EAU DU PARC MARCELLE-BARTHE","Rue  Wolfe ,","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","VILLE-MARIE",,47,,47,,,0
5889,"JEU D'EAU DU PARC THÉODORE","Rue  Théodore ,","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","MERCIER/HOCHELAGA/ MAISONNEUVE",,60,,60,,,
6078,"AUTOPARC BOYER / BÉLANGER","6900 Rue  Boyer , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Stationnement intérieur","ROSEMONT / PETITE-PATRIE",1985,1,,1,,,0
6574,"ÉDIFICE DU 7500 ST-DENIS","7500 Rue  Saint-Denis , Montréal","PROPRIÉTAIRE","Bâtiment excéd.","Administratif","Espace à bureaux","VILLERAY/ST-MICHEL/PARC-EXTENS",1974,5100,0,5100,3,,
6614,"STATION POMPAGE CHARLEMAGNE","355 Avenue  100e , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Station de pompage (aqueduc)","R-D-P / P-A-T",,130,130,130,1,,
6615,"ÉDICULE DE CHLORATION ROCKLAND","9999 Traverse  Rockland (OUT) , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Station de chloration","OUTREMONT",,20,20,20,1,,
6616,"ÉDICULE DE CHLORATION STE-CLAIRE","2300 Chemin  Saint-Clare (MTR) , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Station de chloration","MONT-ROYAL",,20,20,20,1,,
6617,"STATION POMPAGE BAIE D'URFÉ","325 Rue  Lee (BDU) , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Station de pompage (aqueduc)","BAIE-D'URFÉ",,44,44,44,1,,
6618,"PAVILLON ANNEXE MAISON NIVARD ST DIZIER","7244 Boulevard  LaSalle , Montréal","PROPRIÉTAIRE","Bâtiment","Culturel","Chalet","VERDUN",,32,1,32,1,,
6620,"CHAMBRE À VANNES ALTITUDE","180 Avenue  Duke-of-Kent (PCL) , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Chambre à vannes (aqueduc)","POINTE-CLAIRE",,22,1,22,1,,
6633,"PONCEAU MAURICE-DUPLESIS MARIE-VICTORIN","Boulevard  Maurice-Duplessis E, Montréal","LOCATAIRE","Bâtiment","Loisir communautaire","Garage TP/Parcs/Imm./Ent.méc.","R-D-P / P-A-T",,1,1,1,,,
6647,"PARC DU LAC-À-LA-LOUTRE","4549 Rue  Saint-Ambroise , Montréal","PROPRIÉTAIRE","Installation externe","Administratif","Garage TP/Parcs/Imm./Ent.méc.","SUD-OUEST",,3208.5,3208.5,3208.5,,,
6970,"760 NOTRE-DAME- LACHINE-CLUB GYMNITOURS","760 Rue  Notre-Dame (LCH) , Montréal","LOCATAIRE","Bâtiment","Loisir communautaire","Gymnase","LACHINE",,325,325,325,,,
6971,"ORGANISMES COMMUNAUTAIRES LACHINE-19EM","512 Avenue  19e (LCH) , Montréal","LOCATAIRE","Bâtiment","Loisir communautaire","Centre communautaire et loisir","LACHINE",,650.32,650.32,650.32,3,,
6972,"COMPLEXE GUY-FAVREAU","200 Boulevard  René-Lévesque , Montréal","LOCATAIRE","Bâtiment","Loisir communautaire","Centre communautaire et loisir","VILLE-MARIE",,371,1,371,,,
6973,"LES YMCA QUÉBEC","1435 Rue  Drummond , Montréal","LOCATAIRE","Bâtiment","Loisir communautaire","Centre culturel","VILLE-MARIE",,2328,2328,2328,,,
6974,"CARREFOUR COMMUNAUTAIRE VILLE-ÉMARD","5599 Rue  Laurendeau , Montréal","PROPRIÉTAIRE","Bâtiment","Commercial","Espace à bureaux","SUD-OUEST",1962,1035,345,1035,3,,
6976,"7235-7237 ST-URBAIN","7235 Rue  Saint-Urbain , Montréal","PROPRIÉTAIRE","Bâtiment excéd.","Commercial","Local commercial","VILLERAY/ST-MICHEL/PARC-EXTENS",,375,375,375,2,,
7123,"INFRASTRUCTURE JARD.COMM.SLT-AU-RÉCOLLET","10875 Rue du Pressoir , Montréal","PROPRIÉTAIRE","Installation externe","Loisir communautaire","Centre communautaire et loisir","AHUNTSIC / CARTIERVILLE",,1,,1,,,0
7314,"GUÉRITE ET CHUTE A NEIGE IBERVILLE","Rue d' Iberville (MTL) , Montréal","PROPRIÉTAIRE","Installation externe","Industriel","Guérite","VILLE-MARIE",,11.89,11.89,9.76,1,,
7336,"BÂT.CHUTE MÉCANISÉE JULES-POITRAS (SLA)","2595 Boulevard  Henri-Bourassa O, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Espace à bureaux","SAINT-LAURENT",2001,85.1,85.1,78.7,1,1,
7337,"GUÉRITE CHUTE À NEIGE JULES-POITRAS(SLA)","2595 Boulevard  Henri-Bourassa O, Montréal","PROPRIÉTAIRE","Installation externe","Industriel","Guérite","SAINT-LAURENT",1999,9.29,0,9.29,,,
7338,"GUÉRITE CHUTE À NEIGE DE LA SALLE","Rue  Notre-Dame E, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Guérite","MERCIER/HOCHELAGA/ MAISONNEUVE",1999,14.88,14.88,12.2,,,
7999,"PDQ 5","393 Boulevard  Saint-Jean , Montréal","PROPRIÉTAIRE","Bâtiment","Protection et sécurité","Poste de police","POINTE-CLAIRE",2022,1000,1000,1000,,,
8008,"ASSOCIATION BOCCE NOUVEAU-ROSEMONT","6761 Rue  Beaubien E, Montréal","LOCATAIRE","Bâtiment","Loisir communautaire","Centre communautaire et loisir","MERCIER/HOCHELAGA/ MAISONNEUVE",,78.97,,59.7,1,,
8012,"CENTRE COMMUNAUTAIRE SAINT-CLEMENT INC.","4711 Rue  Sainte-Catherine E, Montréal","LOCATAIRE","Bâtiment","Loisir communautaire","Centre communautaire et loisir","MERCIER/HOCHELAGA/ MAISONNEUVE",,447.9,,447.9,1,1,
8014,"EX.BUR.ARROND.REMISAGE VEHICULES SAISON.","2350 Rue  Dickson , Montréal","LOCATAIRE","Bâtiment","Administratif","Garage remisage chauffé","MERCIER/HOCHELAGA/ MAISONNEUVE",1960,60168.01,,4908.5,2,1,
8023,"PAROISSE SAINT-JUSTIN","5055 Rue  Joffre , Montréal","LOCATAIRE","Bâtiment","Loisir communautaire","Centre communautaire et loisir","MERCIER/HOCHELAGA/ MAISONNEUVE",1997,506.79,,506.79,1,1,
8027,"CENTRE JEAN-MARIE GAUVREAU","911 Rue  Jean-Talon E, Montréal","LOCATAIRE","Bâtiment","Administratif","Maison de la culture","VILLERAY/ST-MICHEL/PARC-EXTENS",1993,4585.74,,2176.6,3,,
